+----+----------+-----------+-----------------+-----------+---------------+
|    |        T |    spin_i |   sum_neighbors |        dE |   probability |
|----+----------+-----------+-----------------+-----------+---------------|
|  0 | 1.00e+00 |  1.00e+00 |        4.00e+00 |  8.00e+00 |      3.35e-04 |
|  1 | 1.00e+00 |  1.00e+00 |        2.00e+00 |  4.00e+00 |      1.83e-02 |
|  2 | 1.00e+00 |  1.00e+00 |        0.00e+00 |  0.00e+00 |      1.00e+00 |
|  3 | 1.00e+00 |  1.00e+00 |       -2.00e+00 | -4.00e+00 |      1.00e+00 |
|  4 | 1.00e+00 |  1.00e+00 |       -4.00e+00 | -8.00e+00 |      1.00e+00 |
|  5 | 1.00e+00 | -1.00e+00 |        4.00e+00 | -8.00e+00 |      1.00e+00 |
|  6 | 1.00e+00 | -1.00e+00 |        2.00e+00 | -4.00e+00 |      1.00e+00 |
|  7 | 1.00e+00 | -1.00e+00 |        0.00e+00 | -0.00e+00 |      1.00e+00 |
|  8 | 1.00e+00 | -1.00e+00 |       -2.00e+00 |  4.00e+00 |      1.83e-02 |
|  9 | 1.00e+00 | -1.00e+00 |       -4.00e+00 |  8.00e+00 |      3.35e-04 |
| 10 | 2.00e+00 |  1.00e+00 |        4.00e+00 |  8.00e+00 |      1.83e-02 |
| 11 | 2.00e+00 |  1.00e+00 |        2.00e+00 |  4.00e+00 |      1.35e-01 |
| 12 | 2.00e+00 |  1.00e+00 |        0.00e+00 |  0.00e+00 |      1.00e+00 |
| 13 | 2.00e+00 |  1.00e+00 |       -2.00e+00 | -4.00e+00 |      1.00e+00 |
| 14 | 2.00e+00 |  1.00e+00 |       -4.00e+00 | -8.00e+00 |      1.00e+00 |
| 15 | 2.00e+00 | -1.00e+00 |        4.00e+00 | -8.00e+00 |      1.00e+00 |
| 16 | 2.00e+00 | -1.00e+00 |        2.00e+00 | -4.00e+00 |      1.00e+00 |
| 17 | 2.00e+00 | -1.00e+00 |        0.00e+00 | -0.00e+00 |      1.00e+00 |
| 18 | 2.00e+00 | -1.00e+00 |       -2.00e+00 |  4.00e+00 |      1.35e-01 |
| 19 | 2.00e+00 | -1.00e+00 |       -4.00e+00 |  8.00e+00 |      1.83e-02 |
| 20 | 2.50e+00 |  1.00e+00 |        4.00e+00 |  8.00e+00 |      4.08e-02 |
| 21 | 2.50e+00 |  1.00e+00 |        2.00e+00 |  4.00e+00 |      2.02e-01 |
| 22 | 2.50e+00 |  1.00e+00 |        0.00e+00 |  0.00e+00 |      1.00e+00 |
| 23 | 2.50e+00 |  1.00e+00 |       -2.00e+00 | -4.00e+00 |      1.00e+00 |
| 24 | 2.50e+00 |  1.00e+00 |       -4.00e+00 | -8.00e+00 |      1.00e+00 |
| 25 | 2.50e+00 | -1.00e+00 |        4.00e+00 | -8.00e+00 |      1.00e+00 |
| 26 | 2.50e+00 | -1.00e+00 |        2.00e+00 | -4.00e+00 |      1.00e+00 |
| 27 | 2.50e+00 | -1.00e+00 |        0.00e+00 | -0.00e+00 |      1.00e+00 |
| 28 | 2.50e+00 | -1.00e+00 |       -2.00e+00 |  4.00e+00 |      2.02e-01 |
| 29 | 2.50e+00 | -1.00e+00 |       -4.00e+00 |  8.00e+00 |      4.08e-02 |
| 30 | 4.00e+00 |  1.00e+00 |        4.00e+00 |  8.00e+00 |      1.35e-01 |
| 31 | 4.00e+00 |  1.00e+00 |        2.00e+00 |  4.00e+00 |      3.68e-01 |
| 32 | 4.00e+00 |  1.00e+00 |        0.00e+00 |  0.00e+00 |      1.00e+00 |
| 33 | 4.00e+00 |  1.00e+00 |       -2.00e+00 | -4.00e+00 |      1.00e+00 |
| 34 | 4.00e+00 |  1.00e+00 |       -4.00e+00 | -8.00e+00 |      1.00e+00 |
| 35 | 4.00e+00 | -1.00e+00 |        4.00e+00 | -8.00e+00 |      1.00e+00 |
| 36 | 4.00e+00 | -1.00e+00 |        2.00e+00 | -4.00e+00 |      1.00e+00 |
| 37 | 4.00e+00 | -1.00e+00 |        0.00e+00 | -0.00e+00 |      1.00e+00 |
| 38 | 4.00e+00 | -1.00e+00 |       -2.00e+00 |  4.00e+00 |      3.68e-01 |
| 39 | 4.00e+00 | -1.00e+00 |       -4.00e+00 |  8.00e+00 |      1.35e-01 |
+----+----------+-----------+-----------------+-----------+---------------+
